"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsOpening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{df0798e token=<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/<*> com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
visible is system.time.showampm,visible is system.time.showampm,visible is <*>
mVisiblity.getValue is false,mVisiblity.getValue is false,mVisiblity.getValue is <*>
visible is system.charge.show,visible is system.charge.show,visible is <*>
visible is system.call.count gt 0,visible is system.call.count gt 0,visible is <*> gt <*>
mVisiblity.getValue is false,mVisiblity.getValue is false,mVisiblity.getValue is <*>
visible is system.message.count gt 0,visible is system.message.count gt 0,visible is <*> gt <*>
mVisiblity.getValue is false,mVisiblity.getValue is false,mVisiblity.getValue is <*>
visible is system.ownerinfo.show,visible is system.ownerinfo.show,visible is <*>
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{df0798e token=<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/<*> com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
