START: tftp pid=16563 from=10.100.4.251,START: tftp pid=<*> from=<*>.,START: tftp pid=<*> from=<*>
time reset +0.182379 s,time reset <*> s,time reset +<*> s
(supports S0 S4 S5),(supports <*> <*> ),(supports <*>)
FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,FADT (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,HPET (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
INT_SRC_OVR (bus 0 bus_irq 0 global_irq 2 dfl dfl),<*> (bus <*> bus_irq <*> global_irq <*> ),INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl)
INT_SRC_OVR (bus 0 bus_irq 9 global_irq 9 high level),<*> (bus <*> bus_irq <*> global_irq <*> high level),INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level)
MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,MADT (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
PCI Interrupt Link [LNKB] (IRQs 3 4 5 6 7 10 *11 12),PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> ),PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>)
"PCI Interrupt Link [LNKD] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
"PCI Interrupt Link [LNKE] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
"PCI Interrupt Link [LNKF] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
"PCI Interrupt Link [LNKG] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
"PCI Interrupt Link [LNKH] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
PCI Root Bridge [PCI0] (00:00),PCI Root Bridge [<*> ] (00:00),PCI <*> Bridge [PCI0] (<*>)
Power Button (FF) [PWRF],Power Button (<*> ) [<*> ],Power Button (FF) [PWRF]
RSDP (v000 DELL ) @ 0x00000000000fd650,RSDP (v000 DELL ) @ <*>,RSDP (<*> DELL ) @ <*>
SPCR (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd7cc,SPCR (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
Intel(R) Xeon(TM) CPU 3.60GHz stepping 03,Intel(R) <*> (TM) CPU <*> stepping <*>,Intel(R) Xeon(TM) CPU <*> stepping <*>
"sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $","sys_ia32.c,v <*> <*> <*> <*> <*> <*> Exp $",<*> <*> <*> ak Exp $
"root=LABEL=/ initrd=/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=tty0 console=ttyS0,19200 fastboot BOOT_IMAGE=/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr",root=<*>=<*> / initrd=<*> /initrd=<*> / console=<*> /fastboot BOOT_IMAGE=<*> /vmlinuz-<*> -perfctr,"<*>=LABEL=/ initrd=<*> console=<*> console=<*>,<*> fastboot BOOT_IMAGE=<*>"
Using software bounce buffering for IO (SWIOTLB),Using software bounce buffering for <*> (<*> ),Using software bounce buffering for IO (SWIOTLB)
Transparent bridge - 0000:00:1e.0,Transparent bridge <*> -<*>.,Transparent bridge - <*>
Direct-Access ANSI SCSI revision: 02,Direct-Access <*> sCSI revision: <*>,Direct-Access ANSI SCSI revision: <*>
Processor ANSI SCSI revision: 02,Processor <*> SCSI revision: <*>,Processor ANSI SCSI revision: <*>
Mounted root (ext2 filesystem).,Mounted root (<*> filesystem).,Mounted <*> (ext2 filesystem).
MegaRAID Model: LD 0 RAID1 139G Rev: 516A,MegaRAID Model: <*> <*> RAID1 <*> Rev: <*>,MegaRAID Model: LD <*> RAID1 <*> Rev: <*>
4.1.0-ioctl (2003-12-10) initialised: #36#@#37#,<*> (<*> ) initialised: <*> @ <*>,<*>-ioctl (<*>) initialised: <*>
not allocating divert_blk for non-ethernet device lo,not allocating divert_blk for non-ethernet device lo,not allocating divert_blk for non-ethernet device <*>
eth0: e1000_watchdog: NIC Link is Up 1000 Mbps Full Duplex,<*> : <*> : NIC Link is Up <*> Mbps Full Duplex,eth0: <*>: NIC Link is Up <*> Mbps Full Duplex
