session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
session opened for user test by (uid=509),session opened for user test by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user test,session closed for user test,session closed for user <*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,User unknown timed out after <*> at Sat Jun <*>,User unknown timed out after <*> seconds at <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
Received SNMP packet(s) from 67.170.148.126,Received SNMP packet( footsteps) from <*>,Received SNMP packet(s) from <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*> ),session opened for user <*> by (uid=<*>)
session closed for user cyrus,session closed for user cyrus,session closed for user <*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com user=root,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*> tty=NOD,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com user=root,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*> tty=NODEVssh ruser= rhost=<*> tty=NOD,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
