"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1625423, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]","<*> : to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*> relay=[<*> ] [<*> ], dsn=<*>, stat=Deferred: Connection refused by [<*> ]","<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]"
START: tftp pid=16563 from=10.100.4.251,START: tftp <*> from=<*>,START: tftp pid=<*> from=<*>
time reset +0.182379 s,time reset +0.182379 s,time reset +<*> s
Received SNMP packet(s) from #34#,Received SNMP packet( tablets) from <*>,Received SNMP packet(s) from <*>
CentOS-4 (Kernel Module GPG key),CentOS-4 (Kernel Module GPG key),CentOS-<*> (Kernel Module GPG key)
(supports S0 S4 S5),(supports S0 S4 S5),(supports <*>)
DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,DSDT (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,FADT (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,HPET (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
HPET id: 0xffffffff base: 0xfed00000,"HPET id: <*>, base: <*>",HPET id: <*> base: <*>
INT_SRC_OVR (bus 0 bus_irq 0 global_irq 2 dfl dfl),INT_SRC_OVR (bus <*> ) bus_irq <*> global_irq <*>,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl)
INT_SRC_OVR (bus 0 bus_irq 9 global_irq 9 high level),INT_SRC_OVR (bus <*> ) bus_irq <*> global_irq <*>,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level)
MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,MADT (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
MCFG (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd854,MCFG (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
PCI Interrupt Link [LNKA] (IRQs 3 4 5 6 7 10 11 12) *14,PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ) <*>,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>
PCI Interrupt Link [LNKB] (IRQs 3 4 5 6 7 10 *11 12),PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ),PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>)
PCI Interrupt Link [LNKC] (IRQs 3 4 5 6 7 10 11 12) *15,PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ) <*>,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>
"PCI Interrupt Link [LNKD] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
"PCI Interrupt Link [LNKE] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
"PCI Interrupt Link [LNKF] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
"PCI Interrupt Link [LNKG] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
"PCI Interrupt Link [LNKH] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*> ] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> ) <*>, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled."
PCI Root Bridge [PCI0] (00:00),PCI Root Bridge [<*> ] (00:00),PCI <*> Bridge [PCI0] (<*>)
Power Button (FF) [PWRF],Power Button (<*> ) [<*> ],Power Button (FF) [PWRF]
RSDP (v000 DELL ) @ 0x00000000000fd650,RSDP (v000 DELL ) @ <*>,RSDP (<*> DELL ) @ <*>
RSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd664,RSDT (v001 DELL PE BKC <*> MSFT <*> ) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
Using IOAPIC for interrupt routing,Using <*> for interrupt routing,Using IOAPIC for interrupt routing
"sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $","sys_ia32.c,v 1.256 <*> ak Exp $",<*> <*> <*> ak Exp $
"root=LABEL=/ initrd=/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=tty0 console=ttyS0,19200 fastboot BOOT_IMAGE=/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr","root=LABEL=<*> /initrd=<*> /initrd-<*> -perfctr-admin console=<*> console=tty0 console=ttyS0,200 fastboot BOOT_IMAGE=<*>,","<*>=LABEL=/ initrd=<*> console=<*> console=<*>,<*> fastboot BOOT_IMAGE=<*>"
Using software bounce buffering for IO (SWIOTLB),Using software bounce buffering for <*> (SDIOTLB),Using software bounce buffering for IO (SWIOTLB)
Probing PCI hardware (bus 00),Probing PCI hardware (<*> ),Probing PCI hardware (bus <*>)
Transparent bridge - 0000:00:1e.0,Transparent bridge -<*> e.0,Transparent bridge - <*>
Using ACPI for IRQ routing,Using ACPI for <*> routing,Using ACPI for IRQ routing
Using MMCONFIG at e0000000,Using <*> at <*>,Using MMCONFIG at <*>
Processor ANSI SCSI revision: 02,Processor <*> revision: <*>,Processor ANSI SCSI revision: <*>
Mounted root (ext2 filesystem).,Mounted root (<*> filesystem).,Mounted <*> (ext2 filesystem).
MegaRAID Model: LD 0 RAID1 139G Rev: 516A,MegaRAID Model: <*> RAID1 <*> Rev: <*>,MegaRAID Model: LD <*> RAID1 <*> Rev: <*>
PE/PV Model: 1x2 SCSI BP Rev: 1.0,"PE/PV Model: <*>, SCSI BP Rev: <*>",PE/PV Model: <*> SCSI BP Rev: <*>
initializing netlink socket (disabled),initializing netlink socket (DISABLED),initializing netlink socket (disabled)
4.1.0-ioctl (2003-12-10) initialised: #36#@#37#,<*> -ioctl (<*> ) initialised: <*> : <*>,<*>-ioctl (<*>) initialised: <*>
eth0: e1000_watchdog: NIC Link is Up 1000 Mbps Full Duplex,<*> : <*> : NIC Link is Up <*> Full Duplex,eth0: <*>: NIC Link is Up <*> Mbps Full Duplex
Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,Assuming <*> system bus speed for PIO modes; override with idebus=<*>,Assuming <*> system bus speed for PIO modes; override with idebus=xx
Unknown cmd fd(5) cmd(80081272){ 00} arg(ffffda44) on /dev/sda,Unknown cmd <*> cmd(<*> ) on <*>,Unknown cmd fd(<*>) cmd(<*>){<*>} arg(<*>) on <*>
"md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27","md driver <*>, MD_SB_DISKS=<*>","md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>"
probe new device 0x1028:0x0013:0x1028:0x016c: bus 2:slot 14:func 0,probe new device <*> : bus <*> :func <*>,probe new device <*>: bus <*>:slot <*>:func <*>
PS/2 mouse device common for all mice,PS/2 mouse device common for all mice,PS/<*> mouse device common for all mice
Starting ts_fixup: succeeded,Starting <*> : succeeded,Starting ts_fixup: succeeded
