ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,ciod: failed to read message prefix on control stream (CioStream socket to <*>:47106),ciod: failed to read message prefix on control stream (CioStream socket to <*>
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,ciod: failed to read message prefix on control stream (CioStream socket to <*>:36866),ciod: failed to read message prefix on control stream (CioStream socket to <*>
"problem state (0=sup,1=usr).......0","problem state (0=sup,1=usr).......<*>","problem state (<*>=sup,<*>=usr).......<*>"
"problem state (0=sup,1=usr).......0","problem state (0=sup,1=usr).......<*>","problem state (<*>=sup,<*>=usr).......<*>"
"problem state (0=sup,1=usr).......0","problem state (0=sup,1=usr).......<*>","problem state (<*>=sup,<*>=usr).......<*>"
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:51706,ciod: failed to read message prefix on control stream (CioStream socket to <*>:53387),ciod: failed to read message prefix on control stream (CioStream socket to <*>
ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>.,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>
"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015","rts: kernel terminated for reason <*>rts: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>","rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>"
"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310","PrepareForService shutting down NodeCard(<*>, <*>, <*>, <*>) as part of Service Action <*>","PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>"
rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X+ X- Y- Z+ Z-,rts tree/torus link training failed: wanted: <*> got: <*>
ciod: LOGIN chdir(pwd) failed: No such file or directory,ciod: LOGIN chdir(pwd) failed: No such file or directory,ciod: LOGIN chdir(<*>) failed: No such file or directory
