Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*>:<*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Targeting domains:node-D0 and nodes:node-0,Targeting domains:node-<*> and nodes:node-<*>,Targeting domains:node-<*> nodes:node-<*>
Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],Targeting domains:node-<*>[<*>] and nodes:node-<*>[<*>],Targeting domains:node-<*> nodes:node-<*>
Targeting domains:node-D2 and nodes:node-84,Targeting domains:node-<*> and nodes:node-<*>,Targeting domains:node-<*> nodes:node-<*>
Link error on broadcast tree Interconnect-0T00:00:2:1,Link error on broadcast tree Interconnect-<*>:<*>:<*>,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
Link error on broadcast tree Interconnect-1T00:00:2:0,Link error on broadcast tree Interconnect-<*>:<*>:<*>,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
Link error on broadcast tree Interconnect-1T00:00:2:0,Link error on broadcast tree Interconnect-<*>:<*>:<*>,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
ClusterFileSystem: ServerFileSystem domain storage343 is no longer served by node node-11,ClusterFileSystem: ServerFileSystem domain storage<*> is no longer served by node node-<*>,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain storage534 is no longer served by node node-18,ClusterFileSystem: ServerFileSystem domain storage<*> is no longer served by node node-<*>,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain storage211 is no longer served by node node-4,ClusterFileSystem: ServerFileSystem domain storage<*> is no longer served by node node-<*>,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <*>
inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <*>
inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <*>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <*>
