"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (<*> { application_id { id: <*> attemptId: <*> keyId: <*> } })","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)"
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,OutputCommitter is org.apache.hadoop.mapreduce.<*>,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
Scheduled snapshot period at 10 second(s).,Scheduled snapshot period at <*> second(s),Scheduled snapshot period at <*> second(s).
Adding job token for job_1445144423722_0020 to jobTokenSecretManager,Adding job token for <*> to <*>,Adding job token for <*> to jobTokenSecretManager
job_1445144423722_0020Job Transitioned from NEW to INITED,job_<*>Job Transitioned from NEW to INITED,<*> Transitioned from NEW to INITED
"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.","MRAppMaster launching normal, non-uberized, multi-container job <*>","MRAppMaster launching normal, non-uberized, multi-container job <*>."
Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Adding protocol org.apache.hadoop.mapreduce.<*> to the server,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server
Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,Instantiated MRClientService at <*>:<*>,Instantiated MRClientService at MININT-<*>/<*>:<*>
Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Logging to org.slf4j.impl.Log4jLoggerAdapter(<*>) via org.mortbay.log.Slf4jLog,Logging to <*>(org.mortbay.log) via <*>
Http request log for http.requests.mapreduce is not defined,Http request log for <*> is not defined,Http request log for http.requests.mapreduce is not defined
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Added filter <*> (class=<*>) to context mapreduce,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Added filter <*> (class=<*>) to context static,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,Extract jar:<*> to <*>,Extract jar:file:<*> to <*>
Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,Started HttpServer<*>@<*>:<*>,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>
JOB_CREATE job_1445144423722_0020,JOB <*>,JOB_CREATE <*>
nodeBlacklistingEnabled:true,nodeBlacklistingEnabled:true,nodeBlacklistingEnabled:<*>
Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,Connecting to ResourceManager at <*>:<*>,Connecting to ResourceManager at <*>/<*>:<*>
job_1445144423722_0020Job Transitioned from INITED to SETUP,<*> Job Transitioned from INITED to SETUP,<*> Transitioned from INITED to SETUP
job_1445144423722_0020Job Transitioned from SETUP to RUNNING,<*> Job Transitioned from SETUP to RUNNING,<*> Transitioned from SETUP to RUNNING
"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist","Event Writer setup for JobId: <*>, File: <*>","Event Writer setup for JobId: <*>, File: hdfs://<*>"
