time reset +0.182379 s,time reset <*> s,time reset +<*> s
"synchronized to LOCAL(0), stratum 10","synchronized to LOCAL(<*>), stratum <*>","synchronized to <*>, stratum <*>"
CentOS-4 (Kernel Module GPG key),<*> (Kernel Module GPG key),CentOS-<*> (Kernel Module GPG key)
(supports S0 S4 S5),((supports <*> S0 S4 S5),(supports <*>)
DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,DSDT (v001 DELL PE BKC <*> MSFT <*>) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,FADT (v001 DELL PE BKC <*> MSFT <*>) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,HPET (v001 DELL PE BKC <*> MSFT <*>) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
INT_SRC_OVR (bus 0 bus_irq 0 global_irq 2 dfl dfl),INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl <*>),INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl)
MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,MADT (v001 DELL PE BKC <*> MSFT <*>) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
MCFG (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd854,MCFG (v001 DELL PE BKC <*> MSFT <*>) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
PCI Interrupt Link [LNKA] (IRQs 3 4 5 6 7 10 11 12) *14,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*>) <*>,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>
PCI Interrupt Link [LNKC] (IRQs 3 4 5 6 7 10 11 12) *15,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*>) <*>,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>
PCI Root Bridge [PCI0] (00:00),PCI Root Bridge [<*>] (<*>),PCI <*> Bridge [PCI0] (<*>)
Power Button (FF) [PWRF],Power Button (<*>) [PWRF],Power Button (FF) [PWRF]
RSDP (v000 DELL ) @ 0x00000000000fd650,RSDP (v000 <*> ) @ 0x00000000000fd650,RSDP (<*> DELL ) @ <*>
RSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd664,RSDT (v001 DELL PE BKC <*> MSFT <*>) @ <*>,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>
colour VGA+ 80x25,colour <*> + <*>,colour VGA+ <*>
"sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $",<*>,<*> <*> <*> ak Exp $
"routing cache hash table of 65536 buckets, 1024Kbytes","routing cache hash table of <*> buckets, <*>Kbytes","routing cache hash table of <*> buckets, <*>"
